fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
2tier,64,1,4,0.009399999999999971,0.007829367466666666,0.20060784476143612,8571428571.428572,214,7
2tier,64,1,8,0.006749999999999987,0.005983700567182662,0.12806446850299635,11215277777.777779,250,10
3tier_nb,16,6,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
3tier_nb,16,6,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,60,1
3tier_nb,16,6,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,114,2
3tier_nb,16,6,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,224,2
3tier_os2,16,6,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,30,1
3tier_os2,16,6,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,60,1
3tier_os2,16,6,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,114,2
3tier_os2,16,6,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,224,2
3tier_os4,16,6,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,30,1
3tier_os4,16,6,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,60,1
3tier_os4,16,6,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,114,2
3tier_os4,16,6,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,224,2
2tier,16,6,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,31,2
2tier,16,6,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,47,3
2tier,16,6,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,91,4
2tier,16,6,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,132,7
3tier_nb,64,6,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,120,2
3tier_nb,64,6,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,233,2
3tier_nb,64,6,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,432,3
3tier_nb,64,6,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,759,4
3tier_os2,64,6,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,120,2
3tier_os2,64,6,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,233,2
3tier_os2,64,6,4,0.008099999999999979,0.006442450944,0.25728547573089267,10416666666.666666,432,3
3tier_os2,64,6,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,759,4
3tier_os4,64,6,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,120,2
3tier_os4,64,6,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,233,2
3tier_os4,64,6,4,0.01614999999999995,0.01171354717090909,0.3787454615036603,5729166666.666667,432,3
